aX,aY,aZ,gX,gY,gZ
-0.116,0.155,0.994,4.456,7.385,19.287
-0.085,0.125,0.993,6.592,1.282,22.339
-0.064,0.095,0.995,6.409,0.183,23.437
-0.063,0.057,1.000,5.615,5.737,23.865
-0.110,0.036,1.016,4.456,9.888,25.085
-0.146,0.033,1.022,3.906,8.667,27.771
-0.146,0.022,1.025,4.883,9.033,32.043
-0.132,0.001,1.031,5.920,6.165,36.499
-0.126,0.000,1.041,3.357,6.348,39.856
-0.127,0.003,1.052,0.610,10.254,42.664
-0.119,-0.005,1.063,-3.235,6.042,45.654
-0.105,-0.028,1.076,-7.080,9.155,49.194
-0.089,-0.063,1.080,-10.071,11.475,52.673
-0.071,-0.092,1.078,-13.672,14.893,55.176
-0.064,-0.122,1.078,-16.479,14.282,57.129
-0.068,-0.155,1.074,-19.104,21.301,58.899
-0.073,-0.177,1.064,-21.362,24.231,61.584
-0.075,-0.193,1.051,-23.621,28.320,64.819
-0.074,-0.200,1.037,-24.902,34.546,67.932
-0.086,-0.208,1.021,-24.841,35.767,70.679
-0.096,-0.221,1.002,-24.719,37.781,74.219
-0.102,-0.227,0.988,-26.672,34.180,78.857
-0.096,-0.219,0.979,-28.137,39.978,84.106
-0.108,-0.213,0.969,-29.663,39.246,90.942
-0.103,-0.187,0.954,-32.288,41.809,97.412
-0.106,-0.154,0.942,-34.363,45.349,102.844
-0.099,-0.109,0.935,-35.461,45.471,106.750
-0.097,-0.076,0.932,-35.706,46.753,109.802
-0.100,-0.056,0.925,-38.513,44.495,112.244
-0.088,-0.024,0.923,-41.687,54.749,113.953
-0.054,0.007,0.923,-44.373,57.434,114.807
-0.030,0.028,0.916,-47.119,59.937,114.380
-0.045,0.048,0.916,-46.082,59.631,112.610
-0.066,0.070,0.898,-45.288,58.411,109.375
-0.064,0.088,0.872,-44.495,58.899,106.628
-0.051,0.105,0.841,-42.542,57.739,103.577
-0.015,0.131,0.809,-39.673,55.420,98.206
0.027,0.158,0.790,-35.522,52.673,88.562
0.093,0.188,0.778,-30.029,46.631,72.327
0.142,0.211,0.787,-22.278,40.771,51.453
0.136,0.246,0.789,-11.963,33.020,27.588
0.088,0.325,0.783,0.488,25.818,3.418
0.006,0.402,0.738,12.268,19.043,-17.029
-0.103,0.444,0.682,20.142,11.780,-32.715
-0.228,0.515,0.641,22.095,15.625,-42.114
-0.308,0.564,0.672,17.273,13.855,-44.617
-0.429,0.613,0.660,4.944,22.522,-42.358
-0.378,0.612,0.788,-8.667,43.640,-29.480
-0.390,0.573,0.870,-22.583,58.350,-5.981
-0.377,0.594,0.832,-29.175,63.965,7.935
-0.223,0.640,0.873,-22.522,74.097,15.869
-0.206,0.680,0.846,-6.531,69.641,22.156
-0.275,0.746,0.745,10.925,56.824,23.804
-0.290,0.869,0.631,23.987,50.232,27.710
