aX,aY,aZ,gX,gY,gZ
-0.736,-0.958,0.725,-29.663,-6.897,-141.113
-0.569,-0.940,0.785,-27.588,-29.785,-107.300
-0.459,-0.914,0.848,-16.357,-42.664,-84.961
-0.409,-0.924,0.912,-3.174,-43.945,-75.989
-0.362,-0.910,0.979,7.812,-41.016,-71.472
-0.313,-0.887,1.013,15.930,-38.940,-61.340
-0.311,-0.902,1.030,16.113,-39.673,-44.495
-0.354,-0.890,1.042,6.653,-41.687,-23.682
-0.408,-0.846,1.020,-10.559,-46.631,-3.723
-0.435,-0.787,0.993,-23.010,-55.237,13.855
-0.440,-0.736,0.959,-32.654,-66.895,27.100
-0.442,-0.763,0.910,-40.894,-79.956,32.837
-0.394,-0.777,0.872,-50.110,-94.482,39.063
-0.335,-0.802,0.835,-60.120,-108.643,54.321
-0.187,-0.796,0.859,-67.871,-113.831,75.623
-0.016,-0.774,0.925,-68.420,-112.915,96.619
0.067,-0.776,0.928,-52.734,-103.577,107.666
0.123,-0.753,0.931,-32.166,-86.792,114.441
0.111,-0.712,0.933,-16.846,-67.200,123.352
0.076,-0.624,0.932,-9.827,-52.063,135.437
0.012,-0.538,0.905,-8.606,-43.762,148.010
-0.002,-0.423,0.909,-19.531,-37.659,158.997
-0.054,-0.357,0.863,-23.743,-40.405,165.466
-0.046,-0.296,0.870,-25.757,-45.227,168.701
0.005,-0.240,0.881,-22.949,-49.194,167.542
0.069,-0.224,0.913,-24.963,-48.767,164.734
0.163,-0.257,0.958,-26.855,-44.434,162.170
0.285,-0.279,0.993,-22.827,-36.926,162.476
0.335,-0.257,1.003,-12.451,-26.367,163.696
0.324,-0.185,1.036,0.366,-12.634,163.086
0.274,-0.082,1.073,13.428,1.038,159.973
0.173,0.036,1.067,24.170,11.047,152.954
0.072,0.196,1.070,25.146,17.090,142.334
-0.016,0.391,1.093,23.376,18.311,125.610
-0.054,0.543,1.087,18.188,16.541,103.638
-0.085,0.662,1.087,4.456,15.320,77.759
-0.138,0.726,1.118,-11.414,16.235,53.162
-0.194,0.702,1.117,-24.414,17.395,37.354
-0.222,0.618,1.105,-36.499,13.428,32.166
