aX,aY,aZ,gX,gY,gZ
-0.499,0.631,-0.090,-43.579,-7.080,-5.859
-0.486,0.669,-0.170,-37.354,-2.197,-9.827
-0.439,0.674,-0.194,-22.156,5.798,-11.230
-0.385,0.671,-0.130,-2.258,11.475,-10.803
-0.386,0.694,-0.085,17.029,14.832,-9.460
-0.400,0.741,-0.049,29.297,16.663,-6.470
-0.421,0.795,-0.032,34.668,15.259,-6.409
-0.451,0.835,0.008,36.072,13.794,-12.512
-0.411,0.836,0.001,46.631,15.015,-30.701
-0.400,0.807,-0.026,54.749,15.076,-51.147
-0.370,0.863,-0.072,54.993,15.198,-71.777
-0.306,0.818,-0.137,63.782,16.052,-86.853
-0.280,0.849,-0.150,68.848,15.137,-86.365
-0.241,0.782,-0.162,71.533,12.756,-78.369
-0.206,0.774,-0.189,64.575,13.672,-60.425
-0.174,0.704,-0.141,64.331,12.817,-42.603
-0.189,0.669,-0.133,71.899,13.184,-25.330
-0.242,0.637,-0.102,80.383,15.198,-10.071
-0.274,0.671,-0.039,86.792,18.494,1.709
-0.299,0.673,0.027,93.201,23.010,7.019
-0.319,0.676,0.066,95.337,27.954,5.493
-0.335,0.652,0.083,92.957,31.921,-0.793
-0.344,0.616,0.070,91.309,36.011,-8.728
-0.321,0.585,0.053,93.018,39.246,-17.334
-0.293,0.542,0.038,98.145,39.368,-25.208
-0.277,0.519,0.002,108.276,35.034,-32.532
-0.249,0.510,-0.006,124.573,24.353,-39.307
-0.187,0.471,0.081,142.761,8.850,-46.936
-0.178,0.450,0.243,153.503,-1.160,-51.208
-0.138,0.454,0.362,158.752,7.385,-48.340
-0.111,0.444,0.443,155.884,30.396,-40.894
-0.106,0.409,0.490,143.127,58.228,-33.752
-0.135,0.351,0.490,126.648,81.726,-29.785
-0.153,0.313,0.458,108.215,94.177,-30.151
-0.162,0.298,0.366,96.863,92.896,-36.194
-0.164,0.273,0.274,98.083,76.172,-49.744
-0.094,0.178,0.232,113.708,46.448,-68.176
0.004,0.050,0.287,140.137,7.874,-84.045
0.058,-0.037,0.505,167.053,-28.076,-87.952
0.109,-0.057,0.696,185.425,-41.199,-74.280
0.123,-0.032,0.832,188.660,-26.428,-49.622
0.139,0.001,0.929,177.368,6.836,-22.827
0.152,0.024,0.989,157.715,47.913,-1.587
0.124,0.016,0.997,138.550,85.449,10.742
0.073,-0.037,0.955,128.174,110.413,12.756
0.029,-0.078,0.919,125.916,116.516,8.057
0.051,-0.088,0.905,130.981,104.248,-3.113
0.086,-0.161,0.883,147.034,80.017,-20.752
0.141,-0.205,0.945,161.072,49.805,-35.645
0.269,-0.255,1.058,168.823,23.132,-39.490
0.302,-0.254,1.218,169.739,9.338,-30.029
0.330,-0.188,1.251,166.077,14.038,-10.437
0.262,-0.138,1.379,149.719,20.813,5.737
0.234,-0.152,1.358,136.169,39.551,10.803
0.230,-0.135,1.342,106.995,55.908,18.555
0.211,-0.188,1.287,76.538,65.125,25.574
0.141,-0.146,1.240,58.533,67.871,27.893
0.185,-0.121,1.212,64.697,63.965,13.794
0.204,-0.161,1.116,90.698,51.086,-9.583
0.234,-0.231,1.110,113.342,30.029,-27.649
0.326,-0.311,1.193,128.540,10.742,-37.109
0.413,-0.395,1.300,138.733,-0.061,-36.499
0.439,-0.430,1.387,138.367,-2.258,-24.292
0.403,-0.431,1.451,130.676,3.296,-5.981
0.323,-0.402,1.511,119.751,19.775,10.498
0.286,-0.361,1.522,109.070,43.518,19.653
0.215,-0.324,1.496,98.694,61.157,20.447
0.216,-0.303,1.445,89.111,63.843,12.451
0.215,-0.317,1.398,79.651,50.720,-1.465
0.223,-0.327,1.324,75.134,32.104,-15.503
0.252,-0.349,1.283,74.646,14.465,-26.367
0.330,-0.367,1.277,71.777,-0.061,-31.494
0.388,-0.348,1.273,68.115,-8.423,-30.212
0.403,-0.300,1.269,58.838,-11.292,-24.292
0.351,-0.218,1.899,-97.351,25.818,58.594
0.312,-0.183,1.874,-130.493,35.828,58.472
0.275,-0.172,1.839,-152.588,39.673,48.401
0.251,-0.223,1.776,-159.607,39.246,30.945
0.292,-0.251,1.760,-156.372,36.438,15.503
0.312,-0.254,1.781,-152.100,30.945,5.676
0.420,-0.276,1.823,-147.278,28.076,-1.892
0.468,-0.315,1.834,-143.799,22.278,-5.493
0.458,-0.338,1.855,-148.376,15.137,-4.700
0.552,-0.399,1.861,-151.428,7.568,2.014
0.500,-0.395,1.861,-161.438,-5.676,14.771
0.439,-0.360,1.847,-178.162,-19.470,28.748
0.365,-0.320,1.816,-195.435,-27.222,36.926
0.272,-0.318,1.820,-215.271,-25.085,34.058
0.266,-0.254,1.775,-226.562,-11.780,22.827
0.156,-0.241,1.814,-256.409,8.240,-9.155
0.282,-0.317,1.373,-265.991,44.373,-21.362
0.242,-0.273,1.322,-279.846,51.697,-27.222
0.160,-0.296,1.211,-288.513,50.049,-39.185
0.281,-0.203,1.158,-287.964,55.115,-52.429
0.303,-0.264,0.882,-271.790,54.749,-50.110
0.248,-0.226,0.790,-257.568,38.940,-31.067
0.246,-0.122,0.712,-241.333,25.696,-12.939
0.268,-0.112,0.572,-221.741,16.296,3.235
0.226,-0.039,0.593,-222.595,-0.427,26.062
0.245,-0.014,0.550,-219.849,-12.024,42.053
0.169,0.002,0.491,-205.811,-16.479,56.030
0.050,0.007,0.386,-186.707,-13.123,70.740
-0.064,-0.005,0.311,-163.513,-5.188,85.815
-0.151,0.028,0.271,-139.709,0.366,100.403
-0.230,0.142,0.326,-115.051,4.333,102.722
-0.346,0.146,0.213,-89.539,15.137,80.811
-0.363,0.175,0.226,-81.238,18.188,63.904
-0.309,0.196,0.225,-78.247,17.090,54.504
